time,Azimuth:,Pitch:,Roll:
0.013,-102.118,-65.762,-90.000
0.040,-106.442,-65.762,-90.000
0.078,-108.225,-65.444,-89.459
0.112,-103.605,-65.444,-89.459
0.155,-105.657,-65.050,-89.465
0.216,-100.185,-66.083,-89.438
0.241,-96.464,-66.083,-89.438
0.286,-99.563,-65.685,-91.112
0.307,-99.178,-65.685,-91.112
0.355,-100.296,-65.663,-92.779
0.426,-99.090,-65.966,-92.806
0.442,-95.819,-65.966,-92.806
0.496,-95.934,-65.350,-89.459
0.507,-95.816,-65.350,-89.459
0.567,-97.775,-65.065,-90.541
0.637,-98.538,-64.965,-91.081
0.640,-97.701,-64.965,-91.081
0.706,-96.505,-65.359,-91.637
0.776,-94.510,-65.648,-90.546
0.840,-92.611,-65.648,-90.546
0.845,-95.113,-65.036,-90.531
0.907,-96.548,-65.036,-90.531
0.916,-96.793,-64.747,-88.939
0.987,-95.506,-65.272,-90.546
1.040,-99.130,-65.272,-90.546
1.066,-98.424,-65.351,-90.000
1.107,-100.178,-65.351,-90.000
1.130,-102.276,-64.956,-90.000
1.197,-102.501,-65.152,-92.726
1.240,-105.200,-65.152,-92.726
1.266,-103.245,-65.453,-91.637
1.307,-108.246,-65.453,-91.637
1.338,-107.608,-65.552,-91.091
1.406,-109.275,-65.253,-91.081
1.440,-112.018,-65.253,-91.081
1.476,-108.221,-65.942,-91.102
1.507,-111.144,-65.942,-91.102
1.547,-110.849,-65.990,-90.562
1.616,-112.710,-65.645,-91.091
1.640,-114.489,-65.645,-91.091
1.686,-115.044,-65.555,-90.546
1.706,-114.432,-65.555,-90.546
1.756,-113.361,-65.762,-90.000
1.826,-115.475,-65.368,-90.000
1.844,-114.311,-65.368,-90.000
1.895,-114.739,-65.288,-89.449
1.910,-109.873,-65.288,-89.449
1.965,-107.306,-65.761,-89.449
2.036,-107.546,-65.761,-90.551
2.043,-108.002,-65.761,-90.551
2.105,-110.410,-65.256,-90.000
2.106,-109.508,-65.256,-90.000
2.177,-108.487,-65.462,-90.000
2.240,-107.263,-65.462,-90.000
2.245,-106.265,-65.753,-91.652
2.308,-105.056,-65.753,-91.652
2.316,-105.862,-65.571,-91.102
2.386,-106.629,-65.453,-91.637
2.440,-109.546,-65.453,-91.637
2.462,-112.381,-64.847,-90.000
2.507,-107.240,-64.847,-90.000
2.529,-102.740,-65.649,-90.000
2.597,-103.074,-65.665,-91.102
2.640,-100.572,-65.665,-91.102
2.666,-99.554,-65.665,-88.898
2.707,-108.243,-65.665,-88.898
2.738,-111.202,-65.158,-88.919
2.807,-109.477,-65.461,-89.454
2.840,-105.798,-65.461,-89.454
2.876,-103.650,-65.872,-91.112
2.907,-107.016,-65.872,-91.112
2.947,-107.328,-65.783,-90.000
3.017,-109.739,-65.368,-90.000
3.040,-112.102,-65.368,-90.000
3.086,-111.001,-65.555,-90.546
3.111,-107.212,-65.555,-90.546
3.156,-105.265,-65.959,-91.668
3.228,-108.867,-65.256,-90.541
3.246,-104.026,-65.256,-90.541
3.296,-105.736,-64.941,-90.531
3.311,-112.408,-64.941,-90.531
3.366,-110.492,-65.342,-91.621
3.437,-113.367,-64.750,-90.531
3.440,-111.987,-64.750,-90.531
3.506,-109.087,-65.447,-92.182
3.508,-108.439,-65.447,-92.182
3.577,-108.849,-65.256,-90.000
3.640,-108.932,-65.256,-90.000
3.645,-108.663,-65.269,-88.909
3.707,-107.341,-65.269,-88.909
3.715,-108.028,-65.160,-89.459
3.787,-109.036,-65.043,-91.606
3.841,-111.038,-65.043,-91.606
3.866,-109.682,-65.273,-90.000
3.926,-109.068,-65.453,-91.637
3.996,-106.683,-65.937,-91.652
4.042,-106.392,-65.937,-91.652
4.067,-108.014,-65.537,-89.459
4.108,-106.140,-65.537,-89.459
4.138,-106.154,-65.556,-90.000
4.224,-107.358,-65.429,-92.161
4.242,-107.809,-65.429,-92.161
4.276,-107.425,-65.458,-91.091
4.309,-106.540,-65.458,-91.091
4.346,-104.117,-65.853,-90.551
4.417,-107.355,-65.352,-92.182
4.442,-110.338,-65.352,-92.182
4.486,-109.068,-65.556,-90.000
4.513,-102.486,-65.556,-90.000
4.556,-105.540,-65.051,-90.000
4.627,-103.441,-65.458,-91.091
4.647,-101.717,-65.458,-91.091
4.697,-102.127,-65.532,-92.726
4.711,-100.955,-65.532,-92.726
4.766,-100.075,-65.653,-92.203
4.836,-100.490,-65.458,-91.091
4.840,-104.741,-65.458,-91.091
4.906,-104.723,-65.540,-92.182
4.907,-106.695,-65.540,-92.182
4.977,-106.564,-65.529,-91.621
5.041,-105.059,-65.529,-91.621
5.045,-106.727,-65.225,-92.141
5.109,-104.678,-65.225,-92.141
5.116,-103.455,-65.436,-91.621
5.187,-104.267,-65.146,-90.000
5.242,-99.733,-65.146,-90.000
5.264,-98.295,-65.248,-88.379
5.309,-102.123,-65.248,-88.379
5.328,-103.693,-65.158,-91.081
5.396,-104.396,-65.057,-91.621
5.443,-104.442,-65.057,-91.621
5.466,-101.681,-65.462,-90.000
5.509,-106.228,-65.462,-90.000
5.538,-105.224,-65.669,-90.000
5.607,-107.989,-65.158,-91.081
5.641,-106.842,-65.158,-91.081
5.676,-109.072,-64.653,-90.531
5.708,-110.899,-64.653,-90.531
5.746,-105.241,-65.762,-90.000
5.816,-106.470,-65.555,-90.546
5.842,-108.932,-65.555,-90.546
5.909,-112.049,-65.555,-90.546
5.956,-111.866,-65.574,-89.449
6.027,-114.002,-65.146,-90.000
6.046,-115.570,-65.146,-90.000
