time,Azimuth:,Pitch:,Roll:
0.019,-112.837,-65.194,-93.743
0.020,-114.051,-65.194,-93.743
0.087,-112.773,-65.438,-92.726
0.150,-114.334,-65.438,-92.726
0.156,-110.654,-66.111,-94.485
0.217,-109.802,-66.111,-94.485
0.229,-115.422,-65.031,-93.240
0.297,-114.568,-65.178,-94.853
0.350,-111.588,-65.178,-94.853
0.370,-110.867,-65.304,-93.778
0.418,-109.363,-65.304,-93.778
0.437,-110.818,-65.017,-93.209
0.507,-107.889,-65.605,-94.399
0.577,-108.950,-65.400,-94.357
0.603,-110.315,-65.112,-93.209
0.621,-109.607,-65.288,-94.899
0.622,-112.212,-65.288,-94.899
0.638,-109.877,-65.733,-93.888
0.657,-111.069,-65.511,-94.399
0.679,-109.291,-65.848,-93.926
0.702,-110.674,-65.607,-94.994
0.721,-110.599,-65.605,-94.399
0.738,-109.943,-65.776,-95.545
0.755,-108.832,-65.776,-95.545
0.757,-106.778,-66.044,-92.224
0.779,-108.747,-65.737,-92.752
0.803,-108.972,-65.713,-93.851
0.822,-110.612,-65.427,-93.270
0.822,-114.030,-65.427,-93.270
0.838,-113.396,-65.526,-93.851
0.857,-111.227,-65.908,-95.042
0.879,-114.217,-65.344,-95.981
0.902,-111.606,-65.847,-96.096
0.923,-113.164,-65.549,-96.038
0.937,-113.736,-65.438,-95.981
0.953,-111.780,-65.438,-95.981
0.956,-111.412,-65.494,-94.357
0.978,-110.608,-65.633,-93.302
0.996,-109.439,-65.830,-92.752
1.017,-108.876,-65.932,-93.334
1.019,-106.603,-65.932,-93.334
1.037,-108.335,-65.644,-92.752
1.057,-105.177,-66.163,-93.400
1.077,-105.895,-66.047,-93.366
1.101,-107.869,-65.726,-93.302
1.118,-109.341,-65.494,-94.357
1.137,-108.669,-65.601,-93.814
1.151,-106.216,-65.601,-93.814
1.156,-106.884,-65.490,-93.778
1.217,-111.336,-65.490,-93.778
1.226,-109.297,-65.848,-95.492
1.297,-112.993,-65.209,-93.778
1.351,-109.378,-65.209,-93.778
1.370,-108.486,-65.367,-94.853
1.418,-108.292,-65.367,-94.853
1.437,-107.570,-65.441,-91.081
1.508,-112.823,-64.650,-91.061
1.552,-110.004,-64.650,-91.061
1.579,-105.847,-65.343,-92.726
1.618,-109.066,-65.343,-92.726
1.647,-106.062,-65.840,-93.334
1.718,-109.342,-65.304,-93.778
1.751,-108.291,-65.304,-93.778
1.787,-108.109,-65.327,-92.701
1.818,-109.283,-65.327,-92.701
1.857,-108.494,-65.444,-93.302
1.927,-110.576,-65.114,-93.778
1.955,-116.350,-65.114,-93.778
1.997,-112.323,-65.806,-93.851
2.019,-113.037,-65.806,-93.851
2.067,-117.357,-65.146,-92.161
2.137,-116.398,-65.178,-94.853
2.152,-118.659,-65.178,-94.853
2.207,-113.554,-66.088,-94.441
2.218,-109.907,-66.088,-94.441
2.277,-110.291,-66.035,-92.779
2.347,-114.141,-65.438,-92.726
2.351,-121.539,-65.438,-92.726
2.418,-120.943,-65.503,-93.240
2.418,-114.079,-65.503,-93.240
2.487,-114.171,-65.475,-95.492
2.552,-115.653,-65.475,-95.492
2.556,-115.620,-65.494,-94.357
2.619,-114.524,-65.494,-94.357
2.627,-112.802,-65.827,-93.888
2.697,-116.034,-65.195,-94.316
2.752,-115.183,-65.195,-94.316
2.769,-111.832,-65.819,-93.302
2.819,-106.241,-65.819,-93.302
2.837,-104.868,-66.111,-94.485
2.912,-103.280,-66.359,-94.004
2.953,-111.658,-66.359,-94.004
2.979,-113.594,-66.011,-93.888
3.020,-118.484,-66.011,-93.888
3.048,-120.834,-65.595,-93.240
3.118,-124.697,-64.927,-92.121
3.152,-124.788,-64.927,-92.121
3.187,-123.005,-65.232,-92.701
3.222,-126.981,-65.232,-92.701
3.257,-127.903,-65.146,-92.161
3.328,-130.509,-64.754,-91.606
3.354,-129.564,-64.754,-91.606
3.397,-125.161,-65.210,-94.357
3.419,-129.196,-65.210,-94.357
3.467,-130.428,-65.005,-93.743
3.537,-127.038,-65.819,-93.302
3.552,-123.532,-65.819,-93.302
3.607,-123.416,-65.840,-93.334
3.619,-128.807,-65.840,-93.334
3.677,-127.829,-65.815,-95.042
3.748,-129.204,-65.605,-94.399
3.752,-125.476,-65.605,-94.399
3.817,-127.013,-65.305,-94.357
3.819,-124.532,-65.305,-94.357
3.895,-125.178,-65.316,-93.240
3.953,-120.130,-65.316,-93.240
3.956,-116.354,-65.919,-93.888
4.020,-120.148,-65.919,-93.888
4.027,-122.104,-65.644,-92.752
4.107,-123.811,-65.327,-92.701
4.152,-123.683,-65.327,-92.701
4.167,-124.201,-65.232,-92.701
4.220,-121.006,-65.232,-92.701
4.237,-119.070,-65.400,-94.357
4.307,-122.540,-64.921,-93.209
4.353,-123.762,-64.921,-93.209
4.379,-117.988,-65.701,-94.994
4.420,-118.648,-65.701,-94.994
4.447,-123.525,-65.031,-93.240
4.518,-122.145,-65.327,-92.701
4.553,-124.758,-65.327,-92.701
4.588,-122.974,-65.508,-93.814
4.620,-121.947,-65.508,-93.814
4.657,-122.257,-65.400,-94.357
4.728,-120.069,-65.827,-93.888
4.754,-116.924,-65.827,-93.888
4.797,-121.587,-64.987,-94.853
4.820,-118.559,-64.987,-94.853
4.867,-114.965,-65.587,-94.357
4.937,-116.194,-65.400,-94.357
4.953,-115.382,-65.400,-94.357
5.007,-111.817,-65.982,-95.599
5.025,-109.348,-65.982,-95.599
5.077,-111.476,-65.605,-94.399
