time,Azimuth:,Pitch:,Roll:
6.896,-83.369,-65.009,-87.898
6.950,-83.417,-65.009,-87.898
6.964,-84.501,-65.240,-89.465
7.035,-83.004,-65.436,-88.379
7.083,-82.659,-65.436,-88.379
7.104,-83.060,-65.248,-88.379
7.150,-83.546,-65.248,-88.379
7.175,-84.079,-65.253,-88.919
7.244,-83.088,-65.453,-88.363
7.284,-82.223,-65.453,-88.363
7.314,-82.087,-66.037,-89.449
7.350,-83.471,-66.037,-89.449
7.385,-83.803,-64.932,-87.325
7.457,-83.065,-65.464,-87.797
7.485,-80.979,-65.464,-87.797
7.525,-78.994,-65.819,-86.698
7.552,-79.439,-65.819,-86.698
7.594,-81.291,-65.774,-88.332
7.665,-82.844,-65.854,-90.000
7.686,-83.724,-65.854,-90.000
7.735,-84.280,-65.853,-90.551
7.750,-86.357,-65.853,-90.551
7.804,-83.260,-66.258,-88.315
7.875,-83.593,-65.860,-87.776
7.884,-85.961,-65.860,-87.776
7.944,-86.725,-65.540,-87.818
7.950,-88.665,-65.540,-87.818
8.015,-88.473,-65.846,-88.348
8.084,-89.814,-65.846,-88.348
8.084,-90.288,-65.429,-87.839
8.150,-90.586,-65.429,-87.839
8.161,-92.196,-64.934,-88.409
8.225,-92.177,-64.736,-87.879
8.284,-93.463,-64.736,-87.879
8.294,-92.992,-65.138,-88.394
8.351,-92.026,-65.138,-88.394
8.364,-91.005,-65.152,-87.274
8.435,-91.957,-65.381,-88.898
8.485,-92.726,-65.381,-88.898
8.509,-91.898,-65.335,-87.839
8.552,-88.416,-65.335,-87.839
8.576,-89.099,-65.248,-88.379
8.644,-87.378,-65.332,-86.730
8.684,-87.716,-65.332,-86.730
8.714,-89.639,-65.876,-90.000
8.750,-88.950,-65.876,-90.000
8.786,-76.972,-71.639,-89.246
8.854,-22.722,-85.162,-59.534
8.886,-20.367,-85.162,-59.534
8.925,50.242,-87.883,6.340
8.953,54.081,-87.883,6.340
8.994,73.648,-87.255,24.444
9.065,56.446,-85.533,5.440
9.085,67.597,-85.533,5.440
9.136,62.958,-86.651,3.366
9.150,88.535,-86.651,3.366
9.204,107.566,-87.456,26.565
9.275,109.683,-88.223,32.005
9.291,-170.698,-88.223,32.005
9.344,-172.461,-88.466,29.745
9.357,-137.197,-88.466,29.745
9.415,-127.056,-88.166,40.601
9.484,-127.215,-88.044,40.601
9.485,-125.322,-88.044,40.601
9.552,-124.317,-88.044,40.601
9.554,-127.959,-88.859,36.870
9.625,-104.703,-88.092,60.255
9.684,-104.236,-88.092,60.255
9.693,-109.994,-87.858,54.462
9.752,-109.424,-87.858,54.462
9.764,-122.013,-87.054,41.634
9.834,-110.685,-87.682,53.130
9.885,-111.866,-87.682,53.130
9.912,-116.179,-87.603,48.814
9.952,-118.897,-87.603,48.814
9.976,-115.519,-87.600,52.125
10.044,-129.176,-87.463,38.660
10.084,-131.214,-87.463,38.660
