time,Azimuth:,Pitch:,Roll:
0.048,-85.243,-66.094,-84.958
0.098,-84.099,-66.094,-84.958
0.116,-84.326,-66.001,-84.958
0.165,-83.218,-66.001,-84.958
0.184,-85.122,-65.713,-86.149
0.256,-85.147,-65.494,-85.643
0.298,-84.301,-65.494,-85.643
0.324,-84.549,-65.178,-85.147
0.364,-84.022,-65.178,-85.147
0.394,-83.508,-65.383,-85.101
0.465,-85.318,-65.316,-86.760
0.498,-84.599,-65.316,-86.760
0.536,-83.566,-65.069,-85.192
0.565,-84.700,-65.069,-85.192
0.609,-84.199,-65.273,-85.147
0.675,-86.174,-65.112,-86.791
0.698,-87.785,-65.112,-86.791
0.745,-86.626,-64.961,-85.236
0.765,-85.533,-64.961,-85.236
0.815,-82.897,-65.624,-84.019
0.886,-86.004,-64.760,-85.280
0.899,-86.858,-64.760,-85.280
0.955,-84.778,-65.812,-85.559
0.965,-84.928,-65.812,-85.559
1.026,-84.396,-66.019,-85.515
1.096,-83.109,-65.638,-83.355
1.098,-83.661,-65.638,-83.355
1.165,-87.655,-64.568,-84.661
1.166,-90.808,-64.568,-84.661
1.235,-89.372,-64.936,-84.130
1.299,-87.833,-64.936,-84.130
1.312,-86.485,-65.570,-84.508
1.366,-84.356,-65.570,-84.508
1.378,-87.599,-64.787,-85.764
1.445,-85.845,-65.257,-85.192
1.499,-86.178,-65.257,-85.192
1.515,-86.354,-65.178,-85.147
1.566,-85.235,-65.178,-85.147
1.587,-83.045,-65.531,-84.019
1.655,-84.064,-65.570,-85.101
1.699,-84.296,-65.570,-85.101
1.725,-85.581,-65.508,-86.186
1.766,-83.882,-65.508,-86.186
1.795,-84.765,-65.209,-86.222
1.866,-82.905,-65.827,-86.112
1.899,-84.334,-65.827,-86.112
1.936,-84.799,-66.058,-87.194
1.966,-84.135,-66.058,-87.194
2.005,-85.835,-65.455,-87.248
2.075,-83.483,-65.699,-85.601
2.099,-84.830,-65.699,-85.601
2.149,-85.550,-65.273,-85.147
2.165,-87.172,-65.273,-85.147
2.215,-87.287,-65.400,-85.643
2.285,-86.808,-65.383,-85.101
2.299,-86.750,-65.383,-85.101
2.355,-86.820,-65.713,-86.149
2.365,-87.255,-65.713,-86.149
2.425,-86.640,-65.570,-85.101
2.495,-87.866,-65.508,-86.186
2.499,-86.948,-65.508,-86.186
2.565,-86.854,-65.726,-86.698
2.566,-88.241,-65.726,-86.698
2.635,-90.183,-65.217,-87.325
2.699,-89.558,-65.217,-87.325
2.711,-87.162,-65.160,-84.611
2.766,-86.620,-65.160,-84.611
2.778,-87.206,-65.490,-86.222
2.845,-86.894,-65.257,-85.192
2.900,-86.853,-65.257,-85.192
2.915,-87.908,-65.410,-86.760
2.967,-88.318,-65.410,-86.760
2.986,-88.031,-65.180,-85.724
3.055,-87.474,-65.508,-86.186
3.099,-88.508,-65.508,-86.186
3.125,-87.415,-66.047,-86.634
3.166,-86.327,-66.047,-86.634
3.195,-88.942,-64.674,-85.236
3.266,-86.669,-65.587,-85.643
3.300,-87.019,-65.587,-85.643
3.335,-87.411,-65.620,-86.149
3.367,-86.618,-65.620,-86.149
3.405,-85.819,-65.364,-84.560
3.476,-86.405,-65.511,-85.601
3.500,-83.835,-65.511,-85.601
3.545,-82.738,-65.682,-85.054
3.567,-83.980,-65.682,-85.054
3.615,-85.728,-65.289,-85.684
3.686,-86.677,-64.782,-85.192
3.699,-86.744,-64.782,-85.192
3.755,-87.684,-64.812,-86.257
3.766,-85.136,-64.812,-86.257
3.826,-84.007,-65.224,-86.186
3.895,-86.965,-64.523,-87.374
3.899,-86.664,-64.523,-87.374
3.966,-85.099,-65.122,-87.325
3.966,-85.986,-65.122,-87.325
4.035,-86.919,-65.364,-88.909
4.099,-86.640,-65.364,-88.909
4.110,-86.703,-65.138,-88.394
4.166,-85.591,-65.138,-88.394
4.177,-83.462,-65.114,-86.222
4.246,-82.889,-65.539,-86.698
4.301,-85.063,-65.539,-86.698
4.316,-87.565,-64.403,-86.326
4.367,-86.889,-64.403,-86.326
4.387,-85.377,-65.126,-86.760
4.455,-85.834,-65.352,-87.818
4.500,-86.048,-65.352,-87.818
4.525,-86.179,-65.122,-87.325
4.568,-88.120,-65.122,-87.325
4.595,-87.215,-65.237,-86.730
4.666,-87.356,-65.360,-87.248
4.700,-86.978,-65.360,-87.248
4.735,-85.996,-65.521,-86.730
4.769,-88.435,-65.521,-86.730
4.805,-87.307,-65.713,-86.149
4.876,-90.276,-65.241,-87.839
4.901,-88.522,-65.241,-87.839
4.945,-89.275,-64.823,-87.349
4.969,-92.146,-64.823,-87.349
5.015,-91.766,-65.248,-88.379
5.086,-90.429,-64.907,-85.684
5.099,-90.215,-64.907,-85.684
5.155,-90.686,-65.665,-88.898
5.206,-91.053,-65.665,-88.898
5.230,-92.460,-64.914,-87.898
5.295,-91.284,-65.436,-88.379
5.299,-92.390,-65.436,-88.379
5.365,-92.231,-65.335,-87.839
5.367,-91.378,-65.335,-87.839
5.436,-90.199,-65.410,-86.760
5.501,-92.058,-65.410,-86.760
5.512,-92.450,-64.990,-85.724
5.568,-92.235,-64.990,-85.724
5.575,-95.966,-64.629,-88.958
5.645,-93.482,-65.458,-88.909
5.701,-93.557,-65.458,-88.909
5.715,-94.593,-64.934,-88.409
5.767,-94.745,-64.934,-88.409
5.787,-94.557,-65.158,-88.919
5.855,-93.867,-65.248,-88.379
5.902,-93.327,-65.248,-88.379
5.929,-91.756,-65.316,-86.760
5.968,-91.067,-65.316,-86.760
5.995,-89.096,-65.679,-85.643
6.065,-90.187,-65.633,-86.698
6.101,-88.317,-65.633,-86.698
6.135,-89.003,-65.209,-86.222
6.170,-90.073,-65.209,-86.222
6.205,-91.642,-65.342,-88.379
6.276,-92.290,-64.927,-87.879
6.303,-89.134,-64.927,-87.879
6.345,-87.318,-65.222,-86.760
6.370,-85.739,-65.222,-86.760
6.415,-88.176,-64.523,-87.374
6.486,-88.617,-64.731,-88.423
6.502,-86.142,-64.731,-88.423
6.555,-85.583,-65.142,-88.929
6.577,-85.206,-65.142,-88.929
6.625,-84.718,-64.927,-87.879
6.695,-85.776,-65.334,-90.000
6.701,-86.762,-65.334,-90.000
6.765,-87.008,-65.036,-89.470
6.767,-87.223,-65.036,-89.470
6.835,-87.400,-64.425,-87.917
6.902,-88.448,-64.425,-87.917
6.905,-84.874,-65.316,-86.760
6.968,-86.184,-65.316,-86.760
6.974,-88.105,-64.823,-87.349
7.045,-87.623,-65.359,-88.363
7.101,-87.927,-65.359,-88.363
7.115,-89.416,-64.639,-87.879
7.168,-90.402,-64.639,-87.879
7.192,-89.445,-65.168,-88.363
7.255,-89.003,-65.342,-88.379
7.301,-93.412,-65.342,-88.379
7.326,-94.107,-65.253,-88.919
7.374,-93.855,-65.253,-88.919
7.395,-92.413,-65.447,-87.818
7.465,-94.509,-64.838,-88.409
7.502,-94.663,-64.838,-88.409
7.537,-89.775,-65.699,-85.601
7.570,-90.494,-65.699,-85.601
7.605,-92.478,-65.209,-86.222
7.676,-94.177,-65.248,-88.379
7.705,-93.327,-65.248,-88.379
7.745,-91.676,-65.332,-86.730
7.772,-91.156,-65.332,-86.730
7.815,-93.522,-64.844,-87.859
7.885,-91.067,-65.209,-86.222
7.901,-90.940,-65.209,-86.222
7.955,-91.825,-65.232,-87.299
7.976,-91.255,-65.232,-87.299
8.026,-90.193,-65.099,-85.684
8.096,-89.738,-65.414,-86.186
8.101,-88.574,-65.414,-86.186
8.169,-90.682,-65.027,-87.325
8.169,-90.403,-65.027,-87.325
8.303,-87.475,-65.027,-87.325
8.306,-87.634,-65.146,-87.839
8.369,-86.236,-65.146,-87.839
8.374,-87.442,-64.736,-87.879
8.445,-87.114,-64.844,-87.859
8.503,-87.849,-64.844,-87.859
8.515,-86.246,-65.031,-86.760
8.569,-86.626,-65.031,-86.760
8.594,-85.787,-65.316,-86.760
8.656,-80.132,-66.734,-85.380
8.702,-79.880,-66.734,-85.380
8.727,-36.055,-85.039,-81.469
8.769,-37.240,-85.039,-81.469
8.795,27.238,-88.234,-23.199
8.866,81.830,-88.138,29.745
8.902,87.304,-88.138,29.745
8.936,87.093,-88.257,29.745
8.970,98.206,-88.257,29.745
9.005,97.917,-88.374,29.745
9.076,108.880,-88.251,40.601
9.104,138.471,-88.251,40.601
9.145,119.595,-87.463,17.103
9.170,-175.241,-87.463,17.103
9.215,-178.632,-86.701,13.241
9.286,-173.192,-87.035,19.654
9.319,-153.503,-87.035,19.654
9.355,-144.064,-87.808,29.055
9.376,-141.598,-87.808,29.055
9.425,-135.129,-88.037,35.538
9.496,-141.655,-87.574,29.055
9.511,-141.229,-87.574,29.055
9.565,-129.086,-87.377,41.186
9.575,-128.193,-87.377,41.186
9.635,-136.842,-86.755,32.471
9.703,-135.392,-86.755,32.471
9.704,-122.887,-87.301,45.000
9.769,-124.746,-87.301,45.000
9.775,-132.578,-86.539,36.870
9.846,-121.395,-87.418,48.366
9.903,-122.645,-87.418,48.366
9.915,-126.379,-87.727,45.000
9.970,-126.415,-87.727,45.000
9.990,-130.535,-87.971,41.186
10.055,-135.407,-87.430,36.027
10.102,-133.399,-87.430,36.027
10.127,-138.815,-87.774,30.964
10.169,-136.090,-87.774,30.964
10.195,-125.765,-87.871,41.186
10.266,-151.284,-86.027,15.524
10.302,-150.988,-86.027,15.524
10.336,-143.282,-86.555,23.199
10.371,-143.585,-86.555,23.199
10.405,-140.213,-86.359,26.565
10.476,-121.791,-86.541,45.000
10.505,-122.644,-86.541,45.000
10.546,-122.399,-87.244,45.000
10.569,-126.651,-87.244,45.000
10.615,-126.562,-87.345,45.000
10.686,-113.392,-87.856,57.995
10.711,-125.094,-87.856,57.995
10.755,-145.028,-87.894,36.870
10.775,-156.605,-87.894,36.870
10.825,-162.676,-88.391,29.745
10.895,-145.553,-87.991,48.814
10.909,-146.660,-87.991,48.814
10.965,-157.456,-88.097,36.870
10.976,-147.175,-88.097,36.870
11.048,-159.096,-87.678,24.444
11.104,-147.901,-87.678,24.444
11.105,-148.546,-88.475,23.199
11.171,-145.526,-88.475,23.199
11.174,-162.879,-87.812,5.711
11.245,-144.710,-87.211,24.444
11.305,-142.701,-87.211,24.444
11.315,-146.113,-86.651,21.038
11.371,-145.097,-86.651,21.038
11.391,-143.522,-86.807,22.620
11.455,-128.209,-87.186,37.875
11.506,-128.541,-87.186,37.875
11.525,-128.614,-87.368,37.875
11.572,-128.960,-87.368,37.875
11.595,-121.967,-87.777,45.000
11.666,-122.252,-88.206,45.000
11.704,-124.368,-88.206,45.000
11.736,-114.851,-88.301,54.462
11.771,-115.059,-88.301,54.462
11.805,-120.479,-87.950,48.814
11.876,-112.853,-87.935,56.310
11.905,-111.484,-87.935,56.310
11.946,-118.675,-88.216,49.399
11.971,-116.106,-88.216,49.399
12.015,-129.178,-87.209,36.027
12.086,-134.427,-87.480,30.964
12.111,-135.877,-87.480,30.964
12.155,-127.362,-86.759,39.289
12.176,-127.798,-86.759,39.289
12.226,-128.413,-86.983,38.660
12.295,-138.426,-86.935,28.610
12.308,-137.599,-86.935,28.610
12.366,-138.060,-86.480,28.301
12.376,-140.986,-86.480,28.301
12.435,-139.348,-87.651,29.055
12.505,-150.732,-87.651,29.055
12.506,-153.151,-87.519,26.565
12.571,-163.632,-87.519,26.565
12.574,-153.443,-87.634,37.875
12.645,-150.070,-87.922,41.186
12.705,-147.897,-87.922,41.186
12.714,-135.684,-87.685,55.008
12.772,-127.934,-87.685,55.008
12.796,-135.781,-88.654,45.000
12.855,-127.241,-88.346,54.462
